11, 11, 13, 14, 17.5, 20, 24.5, 26, 24, 19, 14.5, 14.5, 
13, 12, 13.5, 13.5, 18.5, 23, 26.5, 26, 21.5, 18.5, 14, 14, 
11, 12, 14, 15, 19, 23, 24.5, 23.5, 24, 20.5, 13, 12.5, 
12, 11, 13, 14, 17, 21.5, 25, 25, 23, 20, 15, 14, 
13, 10, 13, 16.5, 18, 20.5, 25, 26, 23, 19, 15, 14, 
13, 12, 14, 14, 17, 21.5, 24.5, 27.5, 23, 20.5, 13, 12.5, 
11, 11, 14, 13, 17, 20, 24.5, 25, 24.5, 19, 15, 13.5, 
13, 12, 14.5, 13, 19, 22, 24, 24.5, 23.5, 21, 15, 13, 
11, 13.5, 13, 13, 19, 21, 24, 25, 22, 19, 15, 13, 
10.5, 12.5, 13.5, 16, 19, 20.5, 23, 25, 23.5, 21, 12, 14.5, 
11, 11, 13, 14, 17.5, 20, 24.5, 26, 24, 19, 14.5, 14.5, 
9.5, 12.5, 14, 15, 19, 22, 26, 26, 22, 20, 14, 11, 
9.5, 10, 13.5, 14, 17.5, 22, 24, 24.5, 24, 19, 13, 13, 
12, 11.5, 12.5, 13, 18, 22, 24.5, 26, 22.5, 20, 14.5, 12, 
11, 11, 14, 15.5, 18, 21, 23.5, 25.5, 21.5, 20.5, 12.5, 10.5, 
13, 11, 13.5, 13, 18, 21, 24, 24, 22.5, 21, 16, 12, 
11.5, 14.5, 13, 14, 19, 22, 23, 25, 22, 19, 14, 13, 
