12, 13, 10, 8.5, 5, 2.5, 5, 4, 4, 7.5, 9, 12, 
12, 13, 10, 9, 3.5, 2, 4, 4, 5.5, 6, 9, 11, 
11, 10, 10, 7, 4, 0.5, 2, 2, 5, 6, 10, 10, 
12, 11, 7.5, 6, 4, 3, 3, 4, 6, 8.5, 8, 9, 
10, 12, 11, 8, 4.5, 2.5, 2.5, 5, 4.5, 8, 8, 11, 
10.5, 10, 9, 8, 4, 4, 2.5, 3, 5, 7.5, 9, 11, 
10, 11, 11, 8, 3, 0.5, 4, 4, 6, 7, 11, 12, 
9, 10, 10, 7, 5, 3, -1, 2.5, 4, 7, 10, 12, 
12, 10.5, 9, 7, 4.5, 1.5, 5, 3, 7, 7.5, 9, 11, 
12, 13, 10, 6, 3, 3, 4, 3.5, 6.5, 8, 9.5, 12.5, 
12, 13, 10, 8.5, 5, 2.5, 5, 4, 4, 7.5, 9, 12, 
10, 11.5, 10, 6.5, 3, 2.5, 4, 3, 6, 8, 8.5, 12.5, 
11, 11, 10, 7, 5, 4, 4, 2, 5, 7.5, 8.5, 9, 
12.5, 13, 11, 9.5, 6, 3, 4, 2, 6, 7, 9, 10.5, 
11, 11, 9, 8.5, 4, 0.5, 4, 2, 3.5, 7, 9, 10, 
11, 11, 10, 7, 4.5, 0.5, 2, 2, 5.5, 6, 10.5, 10, 
10.5, 11, 10, 6, 2, 3.5, 4, 3, 6, 8.5, 9, 13, 
